objid,ra,dec,method_a_score,method_a_anomaly,method_b_score,method_b_anomaly,method_a_rank,method_b_rank,combined_rank,either_anomaly,both_anomaly
12376400000000002863,294.4508222069445,11.800969387571271,-0.059684780948866645,True,-0.002481321625381838,True,54.0,84.0,69.0,True,True
12376400000000006607,297.91729004243274,22.246399894517587,-0.06457179644815159,True,-0.00011744545456082722,True,49.0,93.0,71.0,True,True
12376400000000003541,199.81478828133555,21.580720736993825,0.005628094056600252,False,-0.021542128467972543,True,97.0,56.0,76.5,True,False
12376400000000003570,170.9709819656552,45.7513087256019,0.014512508532383506,False,-0.028784649982948496,True,110.0,43.0,76.5,True,False
12376400000000002255,298.7757059478796,19.80422888596499,0.027620890169886225,False,-0.01696776129329336,True,120.0,60.0,90.0,True,False
12376400000000000538,281.6687402621224,52.92120414825709,-0.012643097807212511,True,0.002128518151299774,False,83.0,100.0,91.5,True,False
12376400000000003118,250.4613540249128,36.59097297996658,-0.047031867113121684,True,0.013610233880803069,False,62.0,124.0,93.0,True,False
12376400000000003768,41.69629510087869,-14.050361840312352,-0.000998773316508994,True,0.0015784968108408792,False,92.0,96.0,94.0,True,False
12376400000000003314,179.02295521846986,35.3554935637361,-0.17421994389452244,True,0.031086598187860415,False,4.0,185.0,94.5,True,False
12376400000000002031,287.73449695057934,16.90161069088791,-0.023765703807733907,True,0.0106253938223001,False,77.0,118.0,97.5,True,False
12376400000000004828,157.13628543098463,-12.27289331323236,0.03345366526100857,False,-0.007896017063308225,True,128.0,68.0,98.0,True,False
12376400000000003407,285.3823498120183,21.19307200137963,0.05793757621893314,False,-0.11237328035677474,True,193.0,3.0,98.0,True,False
12376400000000005143,289.9749518857479,14.93470731981073,-0.017859443630310112,True,0.012072248943907016,False,78.0,119.0,98.5,True,False
12376400000000005063,308.4210124242246,0.7474303676527825,-0.07409558884963552,True,0.022313091568294086,False,43.0,155.0,99.0,True,False
12376400000000004731,-6.980883814115342,-3.5370833342731327,-0.09592609283551079,True,0.026024936418103883,False,34.0,166.0,100.0,True,False
12376400000000003988,156.26632444797323,14.588769107211204,0.04478207554353364,False,-0.02680414322194724,True,156.0,45.0,100.5,True,False
12376400000000002359,285.9980153265753,16.28486558121291,0.04139793684490134,False,-0.02080014709290723,True,146.0,57.0,101.5,True,False
12376400000000003240,40.02564587613573,-9.482649841988414,-0.11465727749232446,True,0.030836160454821293,False,23.0,183.0,103.0,True,False
12376400000000002885,190.9676973786796,11.529162238856646,-0.17538281047804827,True,0.03397503103696442,False,3.0,205.0,104.0,True,False
12376400000000002231,288.3722270997904,23.42261354841281,0.04610519141087566,False,-0.017096961964064517,True,159.0,59.0,109.0,True,False
12376400000000001951,287.88055717894247,17.616070068370025,-0.06263917888303416,True,0.026493309889826344,False,51.0,168.0,109.5,True,False
